Date,Observation,GDP,RLGDP,Population,MF,FIRREA,TRA86,TRA97,FHFA,PH,Pop,MORTGAGE30US,SF,All,GDP_NSA,RES_GDP_DEF,TOT_GDP_DEF,RES_GDP_NSA,RLGDP_NSA,del_RLGDPNSA,del_RLGDPNSAyoy,delPop,hhs,SFshare,SFsharepc,SFcomShare,SFcomSharepc,SFcomlagShare,SFcomlagSharepc,AllComp,SFComp,AllCompLag,SFCompLag,Mileage,CarPP
7/1/1961,11,567.7,3372.581,184103.3,94.9,0,0,0,0,0,184.1033,,284.2,379.1,140509,12.493,16.83,7789,834.8722519,0.2905311,24.8596537,766,3.36,0.749670272,74.96702717,,,,,,,,,,
10/1/1961,12,580.6,3438.721,184894.3,87.6,0,0,0,0,0,184.8943,,222.4,310,149394,12.482,16.869,7054,885.6126623,50.7404104,50.2883283,791,3.36,0.717419355,71.74193548,,,,,,,,,,
1/1/1962,13,594,3500.054,185553.3,87,0,0,0,0,0,185.5533,,187.5,274.5,144274,12.505,16.953,5959,851.0234177,-34.5892446,62.7046013,659,3.31,0.683060109,68.30601093,,,,,,,,,,
4/1/1962,14,600.4,3531.683,186202.7,134.7,0,0,0,0,0,186.2027,,305.1,439.8,150952,12.503,17,7453,887.9529412,36.9295235,53.3712204,649.4,3.31,0.69372442,69.37244202,,,,,,,,,,
7/1/1962,15,609,3575.07,186926.3,126.2,0,0,0,0,0,186.9263,,272.3,398.5,150614,12.498,17.04,8481,883.8849765,-4.0679647,49.0127246,723.6,3.31,0.683312422,68.33124216,,,,,,,,,,
10/1/1962,16,612.3,3586.827,187679.7,123.6,0,0,0,0,0,187.6797,,226.4,350,158078,12.482,17.081,7750,925.4610386,41.5760621,39.8483763,753.4,3.31,0.646857143,64.68571429,,,,,,,,,,
1/1/1963,17,621.7,3625.981,188299,115.2,0,0,0,0,0,188.299,,178.2,293.4,150949,12.486,17.165,6576,879.3999417,-46.0610969,28.376524,619.3,3.33,0.607361963,60.73619632,,,,,,,,,,
4/1/1963,18,629.8,3666.669,188906.3,166.8,0,0,0,0,0,188.9063,,324.3,491.1,158886,12.436,17.18,8236,924.8311991,45.4312574,36.8782579,607.3,3.33,0.660354307,66.03543067,,,,,,,,,,
7/1/1963,19,644.4,3747.278,189631,150.1,0,0,0,0,0,189.631,,288.9,439,159597,12.296,17.199,9430,927.9434851,3.112286,44.0585086,724.7,3.33,0.65808656,65.80865604,,,,,,,,,,
10/1/1963,20,653.9,3771.845,190362,158.6,0,0,0,0,0,190.362,,221,379.6,168017,12.377,17.311,8613,970.5794004,42.6359153,45.1183618,731,3.33,0.582191781,58.21917808,,,,,,,,,,
1/1/1964,21,669.8,3851.366,190954,125.7,0,0,0,0,0,190.954,,202.6,328.3,162413,12.261,17.376,7303,934.6972836,-35.8821168,55.2973419,592,3.33,0.617118489,61.71184892,,,,,,,,,,
4/1/1964,22,678.7,3893.296,191560.3,163.1,0,0,0,0,0,191.5603,,294,457.1,170097,12.458,17.427,8590,976.0543983,41.3571147,51.2231992,606.3,3.33,0.643185299,64.31852986,,,,,,,,,,
7/1/1964,23,692,3954.121,192256,137,0,0,0,0,0,192.256,,261.7,398.7,171593,12.497,17.513,10027,979.8035745,3.7491762,51.8600894,695.7,3.33,0.656383246,65.63832455,,,,,,,,,,
10/1/1964,24,697.3,3966.335,192937.7,132.7,0,0,0,0,0,192.9377,,212.1,344.8,180356,12.767,17.588,9182,1025.44917,45.6455955,54.8697696,681.7,3.33,0.615139211,61.51392111,,,,,,,,,,
1/1/1965,25,717.8,4062.311,193466.7,101,0,0,0,0,0,193.4667,,181.5,282.5,173462,12.754,17.665,7098,981.9530144,-43.4961556,47.2557308,529,3.31,0.642477876,64.24778761,,,,,,,,,,
4/1/1965,26,730.2,4113.629,193994,157,0,0,0,0,0,193.994,,296.7,453.7,183818,12.766,17.747,8876,1035.769426,53.8164116,59.7150277,527.3,3.31,0.653956359,65.39563588,,,,,,,,,,
7/1/1965,27,749.3,4205.086,194646.7,125.8,0,0,0,0,0,194.6467,,266.2,392,185525,12.76,17.828,10085,1040.638322,4.868896,60.8347475,652.7,3.31,0.679081633,67.90816327,,,,,,,,,,
